Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,SolarRadiationWatts/m^2,DateUTC
2024-02-13 00:04:00,5.3,3.2,990.8,SSW,199,6,9,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:04:00Z
2024-02-13 00:09:00,5.2,3.2,990.8,SSW,194,4,9,87,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:09:00Z
2024-02-13 00:14:00,5.4,3.2,990.8,SSW,194,7,11,87,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:14:00Z
2024-02-13 00:19:00,5.5,3.3,990.9,SSW,204,9,13,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:19:00Z
2024-02-13 00:24:00,5.5,3.3,991.0,SSW,196,6,13,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:24:00Z
2024-02-13 00:29:00,5.5,3.3,991.0,South,183,7,13,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:29:00Z
2024-02-13 00:34:00,5.5,3.3,990.8,South,190,7,13,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:34:00Z
2024-02-13 00:39:00,5.6,3.4,990.9,SSW,199,7,13,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:39:00Z
2024-02-13 00:44:00,5.6,3.4,991.1,SSW,197,6,13,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:44:00Z
2024-02-13 00:49:00,5.7,3.7,991.0,South,190,9,13,87,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:49:00Z
2024-02-13 00:54:00,5.7,3.7,990.8,SSW,193,11,13,87,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:54:00Z
2024-02-13 00:59:00,5.7,3.6,990.9,SSW,200,7,13,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T00:59:00Z
2024-02-13 01:04:00,5.8,3.6,991.1,South,189,8,15,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:04:00Z
2024-02-13 01:09:00,5.8,3.6,991.1,SSW,192,7,15,86,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:09:00Z
2024-02-13 01:14:00,5.7,3.7,990.9,SSW,196,6,15,87,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:14:00Z
2024-02-13 01:19:00,5.7,3.7,990.9,SSW,195,8,13,88,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:19:00Z
2024-02-13 01:24:00,5.4,3.6,990.8,SSW,192,6,9,88,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:24:00Z
2024-02-13 01:29:00,5.3,3.6,990.8,SSW,200,9,13,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:29:00Z
2024-02-13 01:34:00,5.2,3.6,990.8,SSW,196,5,13,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:34:00Z
2024-02-13 01:39:00,5.0,3.3,990.8,SSW,193,6,13,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:39:00Z
2024-02-13 01:44:00,5.0,3.3,990.9,SSW,206,4,7,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:44:00Z
2024-02-13 01:49:00,4.8,3.3,991.1,SSW,202,5,7,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:49:00Z
2024-02-13 01:54:00,4.8,3.2,991.2,SSW,195,4,7,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:54:00Z
2024-02-13 01:59:00,4.8,3.2,991.2,SSW,193,8,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T01:59:00Z
2024-02-13 02:04:00,4.8,3.2,991.2,SSW,194,5,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:04:00Z
2024-02-13 02:09:00,4.8,3.2,991.1,South,191,4,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:09:00Z
2024-02-13 02:14:00,4.8,3.2,991.3,SSW,196,5,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:14:00Z
2024-02-13 02:19:00,4.9,3.2,991.3,SSW,193,4,7,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:19:00Z
2024-02-13 02:24:00,4.9,3.2,991.5,SSW,198,6,7,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:24:00Z
2024-02-13 02:29:00,4.9,3.2,991.3,SSW,200,3,7,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:29:00Z
2024-02-13 02:34:00,4.8,3.2,991.2,SSW,202,4,7,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:34:00Z
2024-02-13 02:39:00,5.0,3.3,991.5,SSW,197,8,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:39:00Z
2024-02-13 02:44:00,5.0,3.3,991.5,SSW,197,6,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:44:00Z
2024-02-13 02:49:00,5.1,3.3,991.4,SSW,202,6,9,88,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:49:00Z
2024-02-13 02:54:00,5.1,3.3,991.4,SSW,197,6,11,88,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:54:00Z
2024-02-13 02:59:00,5.1,3.3,991.3,SSW,195,4,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T02:59:00Z
2024-02-13 03:04:00,4.9,3.2,991.6,SSW,194,6,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:04:00Z
2024-02-13 03:09:00,4.9,3.2,991.3,SSW,195,6,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:09:00Z
2024-02-13 03:14:00,4.7,3.1,991.4,SSW,198,5,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:14:00Z
2024-02-13 03:19:00,4.7,3.1,991.4,SSW,201,4,7,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:19:00Z
2024-02-13 03:24:00,4.6,3.1,991.3,SSW,198,5,7,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:24:00Z
2024-02-13 03:29:00,4.5,3.0,991.3,SSW,199,3,6,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:29:00Z
2024-02-13 03:34:00,4.4,2.9,991.4,SSW,199,3,6,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:34:00Z
2024-02-13 03:39:00,4.4,2.9,991.4,SSW,199,3,6,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:39:00Z
2024-02-13 03:44:00,4.3,2.9,991.5,SSW,198,3,6,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:44:00Z
2024-02-13 03:49:00,4.4,3.1,991.5,SSW,198,3,6,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:49:00Z
2024-02-13 03:54:00,4.5,3.2,991.4,SSW,199,2,6,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:54:00Z
2024-02-13 03:59:00,4.6,3.3,991.5,SSW,199,1,6,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T03:59:00Z
2024-02-13 04:04:00,4.5,3.2,991.7,SSW,199,0,4,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:04:00Z
2024-02-13 04:09:00,4.3,3.1,991.7,SSW,199,0,2,92,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:09:00Z
2024-02-13 04:14:00,4.2,3.0,991.7,SSW,199,0,2,92,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:14:00Z
2024-02-13 04:19:00,4.3,3.3,991.6,SSW,200,2,2,93,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:19:00Z
2024-02-13 04:24:00,4.4,3.2,991.7,SSW,206,4,6,92,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:24:00Z
2024-02-13 04:29:00,4.5,3.3,991.6,SSW,203,3,6,92,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:29:00Z
2024-02-13 04:34:00,4.5,3.3,991.6,SSW,210,4,7,92,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:34:00Z
2024-02-13 04:39:00,4.5,3.3,991.6,SSW,205,5,7,92,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:39:00Z
2024-02-13 04:44:00,4.5,3.3,991.6,SSW,203,2,7,92,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:44:00Z
2024-02-13 04:49:00,4.5,3.3,991.5,SSW,199,2,7,92,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:49:00Z
2024-02-13 04:54:00,4.6,3.3,991.8,SSW,196,3,6,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:54:00Z
2024-02-13 04:59:00,4.6,3.3,991.8,SSW,197,4,6,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T04:59:00Z
2024-02-13 05:04:00,4.6,3.3,991.7,South,189,4,6,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:04:00Z
2024-02-13 05:09:00,4.7,3.3,991.7,SSW,212,5,7,91,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:09:00Z
2024-02-13 05:14:00,4.8,3.3,991.6,SSW,193,3,7,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:14:00Z
2024-02-13 05:19:00,4.8,3.3,991.7,SSW,200,4,9,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:19:00Z
2024-02-13 05:24:00,4.8,3.3,991.8,SSW,207,4,9,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:24:00Z
2024-02-13 05:29:00,4.8,3.3,991.7,SSW,198,4,6,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:29:00Z
2024-02-13 05:34:00,4.8,3.3,991.8,SSW,199,4,6,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:34:00Z
2024-02-13 05:39:00,4.9,3.2,991.9,SSW,202,4,6,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:39:00Z
2024-02-13 05:44:00,5.0,3.3,991.7,SSW,206,4,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:44:00Z
2024-02-13 05:49:00,5.0,3.3,991.7,SSW,196,6,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:49:00Z
2024-02-13 05:54:00,5.0,3.3,991.8,SSW,196,6,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:54:00Z
2024-02-13 05:59:00,5.1,3.3,991.8,South,182,7,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T05:59:00Z
2024-02-13 06:04:00,5.0,3.3,991.8,SSW,203,2,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:04:00Z
2024-02-13 06:09:00,5.0,3.3,991.8,SSW,199,5,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:09:00Z
2024-02-13 06:14:00,5.1,3.4,991.8,SSW,209,4,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:14:00Z
2024-02-13 06:19:00,5.1,3.4,991.9,SSW,200,6,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:19:00Z
2024-02-13 06:24:00,5.1,3.4,991.7,SSW,196,6,11,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:24:00Z
2024-02-13 06:29:00,5.1,3.4,991.7,SSW,192,6,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:29:00Z
2024-02-13 06:34:00,5.0,3.3,991.9,SSW,205,4,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:34:00Z
2024-02-13 06:39:00,5.0,3.3,991.7,SSW,202,6,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:39:00Z
2024-02-13 06:44:00,5.0,3.3,991.7,South,188,7,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:44:00Z
2024-02-13 06:49:00,5.0,3.3,992.0,SSW,203,5,9,89,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:49:00Z
2024-02-13 06:54:00,5.0,3.5,992.0,SSW,204,8,9,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:54:00Z
2024-02-13 06:59:00,5.0,3.5,991.9,SSW,207,7,9,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T06:59:00Z
2024-02-13 07:04:00,5.0,3.5,991.9,SSW,197,6,9,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T07:04:00Z
2024-02-13 07:09:00,5.0,3.5,991.9,SSW,207,3,9,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T07:09:00Z
2024-02-13 07:14:00,5.0,3.5,992.1,SSW,201,3,7,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T07:14:00Z
2024-02-13 07:19:00,5.0,3.5,992.2,SSW,210,5,6,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T07:19:00Z
2024-02-13 07:24:00,5.0,3.5,992.2,SW,214,2,6,90,0.00,unknown,unknown,0.00,0.00,unknown,2024-02-13T07:24:00Z
2024-02-13 07:29:00,5.0,3.5,992.3,SSW,210,3,6,90,0.00,unknown,unknown,0.00,1.00,unknown,2024-02-13T07:29:00Z
2024-02-13 07:34:00,5.0,3.5,992.3,SSW,208,2,6,90,0.00,unknown,unknown,0.00,1.00,unknown,2024-02-13T07:34:00Z
2024-02-13 07:39:00,4.9,3.4,992.4,SSW,208,0,6,90,0.00,unknown,unknown,0.00,1.00,unknown,2024-02-13T07:39:00Z
2024-02-13 07:44:00,4.9,3.6,992.4,SSW,208,2,4,91,0.00,unknown,unknown,0.00,1.00,unknown,2024-02-13T07:44:00Z
2024-02-13 07:49:00,4.9,3.4,992.3,SSW,210,2,6,90,0.00,unknown,unknown,0.00,2.00,unknown,2024-02-13T07:49:00Z
2024-02-13 07:54:00,5.0,3.5,992.2,SSW,213,4,7,90,0.00,unknown,unknown,0.00,5.00,unknown,2024-02-13T07:54:00Z
2024-02-13 07:59:00,5.0,3.5,992.2,SSW,205,3,7,90,0.00,unknown,unknown,0.00,7.00,unknown,2024-02-13T07:59:00Z
2024-02-13 08:04:00,5.0,3.5,992.2,SSW,205,5,7,90,0.00,unknown,unknown,0.00,9.00,unknown,2024-02-13T08:04:00Z
2024-02-13 08:09:00,5.0,3.7,992.2,SW,214,2,7,91,0.00,unknown,unknown,0.00,10.00,unknown,2024-02-13T08:09:00Z
2024-02-13 08:14:00,5.0,3.7,992.2,SW,214,2,7,91,0.00,unknown,unknown,0.00,13.00,unknown,2024-02-13T08:14:00Z
2024-02-13 08:19:00,5.0,3.5,992.3,SSW,213,2,4,90,0.00,unknown,unknown,0.00,17.00,unknown,2024-02-13T08:19:00Z
2024-02-13 08:24:00,5.0,3.7,992.4,SSW,205,3,4,91,0.00,unknown,unknown,0.00,17.00,unknown,2024-02-13T08:24:00Z
2024-02-13 08:29:00,5.0,3.7,992.4,SSW,210,1,6,91,0.00,unknown,unknown,0.00,22.00,unknown,2024-02-13T08:29:00Z
2024-02-13 08:34:00,5.1,3.8,992.5,SSW,209,3,7,91,0.00,unknown,unknown,0.00,25.00,unknown,2024-02-13T08:34:00Z
2024-02-13 08:39:00,5.1,3.8,992.5,SSW,209,3,7,91,0.00,unknown,unknown,0.00,30.00,unknown,2024-02-13T08:39:00Z
2024-02-13 08:44:00,5.1,3.8,992.4,SSW,207,4,7,91,0.00,unknown,unknown,0.00,28.00,unknown,2024-02-13T08:44:00Z
2024-02-13 08:49:00,5.1,3.8,992.5,SSW,206,3,6,91,0.00,unknown,unknown,0.00,27.00,unknown,2024-02-13T08:49:00Z
2024-02-13 08:54:00,5.1,3.8,992.3,SSW,209,3,6,91,0.00,unknown,unknown,0.00,27.00,unknown,2024-02-13T08:54:00Z
2024-02-13 08:59:00,5.2,3.8,992.5,SSW,212,1,6,91,0.00,unknown,unknown,0.00,30.00,unknown,2024-02-13T08:59:00Z
2024-02-13 09:04:00,5.2,3.8,992.4,SSW,212,0,4,91,0.00,unknown,unknown,0.00,31.00,unknown,2024-02-13T09:04:00Z
2024-02-13 09:09:00,5.3,3.9,992.4,SSW,212,2,4,91,0.00,unknown,unknown,0.00,34.00,unknown,2024-02-13T09:09:00Z
2024-02-13 09:14:00,5.3,3.9,992.5,SSW,213,1,4,91,0.00,unknown,unknown,0.00,38.00,unknown,2024-02-13T09:14:00Z
2024-02-13 09:19:00,5.3,3.8,992.5,SSW,213,3,4,90,0.00,unknown,unknown,0.00,60.00,unknown,2024-02-13T09:19:00Z
2024-02-13 09:24:00,5.4,3.9,992.2,SW,227,4,6,90,0.00,unknown,unknown,0.00,74.00,unknown,2024-02-13T09:24:00Z
2024-02-13 09:29:00,5.5,4.0,992.3,SW,231,3,6,90,0.00,unknown,unknown,0.00,76.00,unknown,2024-02-13T09:29:00Z
2024-02-13 09:34:00,5.6,4.1,992.2,SSW,206,4,6,90,0.00,unknown,unknown,0.00,79.00,unknown,2024-02-13T09:34:00Z
2024-02-13 09:39:00,5.7,4.2,992.2,SSW,209,3,6,90,0.00,unknown,unknown,0.00,70.00,unknown,2024-02-13T09:39:00Z
2024-02-13 09:44:00,5.7,4.2,992.2,SW,215,4,9,90,0.00,unknown,unknown,0.00,67.00,unknown,2024-02-13T09:44:00Z
2024-02-13 09:49:00,5.6,4.1,992.4,SW,219,4,9,90,0.00,unknown,unknown,0.00,66.00,unknown,2024-02-13T09:49:00Z
2024-02-13 09:54:00,5.7,4.2,992.1,SW,221,2,9,90,0.00,unknown,unknown,0.00,63.00,unknown,2024-02-13T09:54:00Z
2024-02-13 09:59:00,5.7,4.2,992.2,SW,220,2,7,90,0.00,unknown,unknown,0.00,69.00,unknown,2024-02-13T09:59:00Z
2024-02-13 10:04:00,5.7,4.2,992.4,SW,216,3,7,90,0.00,unknown,unknown,0.00,72.00,unknown,2024-02-13T10:04:00Z
2024-02-13 10:09:00,5.7,4.2,992.2,SW,219,2,7,90,0.00,unknown,unknown,0.00,68.00,unknown,2024-02-13T10:09:00Z
2024-02-13 10:14:00,5.7,4.3,992.1,SW,221,1,6,91,0.00,unknown,unknown,0.00,69.00,unknown,2024-02-13T10:14:00Z
2024-02-13 10:19:00,5.7,4.3,992.0,SW,225,1,6,91,0.00,unknown,unknown,0.00,88.00,unknown,2024-02-13T10:19:00Z
2024-02-13 10:24:00,5.8,4.3,992.1,SSW,212,4,6,90,0.00,unknown,unknown,0.00,88.00,unknown,2024-02-13T10:24:00Z
2024-02-13 10:29:00,5.8,4.3,992.0,SSW,213,1,6,90,0.00,unknown,unknown,0.00,85.00,unknown,2024-02-13T10:29:00Z
