Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,SolarRadiationWatts/m^2,DateUTC
2024-08-22 00:04:28,15.0,11.9,990.0,South,177,3,8,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:04:28Z
2024-08-22 00:09:28,15.0,11.9,989.9,South,181,5,10,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:09:28Z
2024-08-22 00:14:28,15.1,12.1,989.9,South,180,4,10,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:14:28Z
2024-08-22 00:19:28,15.1,12.1,990.0,South,191,4,10,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:19:28Z
2024-08-22 00:24:28,15.1,12.1,989.8,South,175,4,8,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:24:28Z
2024-08-22 00:29:28,15.1,12.1,989.5,SSW,198,6,10,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:29:28Z
2024-08-22 00:34:28,15.1,12.1,989.7,South,181,6,10,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:34:28Z
2024-08-22 00:39:28,15.1,12.1,989.9,South,179,8,12,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:39:28Z
2024-08-22 00:44:28,15.2,12.2,989.9,South,181,6,12,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:44:28Z
2024-08-22 00:49:28,15.2,12.2,989.6,South,177,8,12,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:49:28Z
2024-08-22 00:54:28,15.1,12.1,989.5,SSW,197,5,12,82,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:54:28Z
2024-08-22 00:59:28,15.1,12.2,989.4,SSW,198,3,10,83,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-21T23:59:28Z
2024-08-22 01:04:28,15.1,12.3,989.4,SSW,201,4,8,84,0.00,unknown,unknown,0.00,0.00,unknown,2024-08-22T00:04:28Z
2024-08-22 01:09:28,15.0,12.7,989.2,SSW,200,4,8,87,0.25,unknown,unknown,0.25,0.00,unknown,2024-08-22T00:09:28Z
2024-08-22 01:14:28,14.7,12.7,989.2,South,186,3,8,89,0.51,unknown,unknown,0.51,0.00,unknown,2024-08-22T00:14:28Z
2024-08-22 01:19:28,14.4,12.7,988.9,South,184,2,6,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:19:28Z
2024-08-22 01:24:28,14.2,12.6,988.7,SSW,198,4,6,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:24:28Z
2024-08-22 01:29:28,14.2,12.6,988.6,SSW,194,3,6,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:29:28Z
2024-08-22 01:34:28,14.2,12.8,988.7,South,187,4,8,91,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:34:28Z
2024-08-22 01:39:28,14.3,12.8,988.6,SSW,192,8,12,91,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:39:28Z
2024-08-22 01:44:28,14.3,12.7,988.5,SSW,198,4,12,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:44:28Z
2024-08-22 01:49:28,14.3,12.6,988.4,SSW,202,4,12,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:49:28Z
2024-08-22 01:54:28,14.2,12.6,988.3,SSW,200,4,6,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:54:28Z
2024-08-22 01:59:28,14.1,12.5,987.9,SSW,196,6,8,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T00:59:28Z
2024-08-22 02:04:28,14.1,12.5,987.9,SSW,210,4,8,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:04:28Z
2024-08-22 02:09:28,14.2,12.6,987.7,South,190,5,8,90,1.02,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:09:28Z
2024-08-22 02:14:28,14.3,12.5,987.7,SSW,203,4,8,89,0.51,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:14:28Z
2024-08-22 02:19:28,14.3,12.5,987.8,South,179,2,8,89,0.25,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:19:28Z
2024-08-22 02:24:28,14.2,12.4,987.6,SSW,205,3,8,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:24:28Z
2024-08-22 02:29:28,14.2,12.4,987.7,South,178,4,8,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:29:28Z
2024-08-22 02:34:28,14.2,12.4,987.4,SSW,203,4,8,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:34:28Z
2024-08-22 02:39:28,14.3,12.5,987.2,SSW,196,3,8,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:39:28Z
2024-08-22 02:44:28,14.3,12.5,987.1,SSW,199,5,10,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:44:28Z
2024-08-22 02:49:28,14.4,12.4,987.2,SSW,192,4,10,88,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:49:28Z
2024-08-22 02:54:28,14.4,12.6,987.2,SW,218,2,10,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:54:28Z
2024-08-22 02:59:28,14.3,12.5,986.9,WSW,237,2,6,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T01:59:28Z
2024-08-22 03:04:28,14.3,12.5,986.8,SSW,210,3,6,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:04:28Z
2024-08-22 03:09:28,14.3,12.5,986.7,South,178,4,6,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:09:28Z
2024-08-22 03:14:28,14.3,12.5,986.7,SSW,194,2,6,89,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:14:28Z
2024-08-22 03:19:28,14.4,12.4,986.6,South,183,6,8,88,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:19:28Z
2024-08-22 03:24:28,14.5,12.3,986.4,SSW,209,4,8,87,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:24:28Z
2024-08-22 03:29:28,14.5,12.6,986.0,South,185,6,8,88,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:29:28Z
2024-08-22 03:34:28,14.5,12.6,986.1,South,177,4,8,88,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:34:28Z
2024-08-22 03:39:28,14.5,12.6,986.0,SSW,198,4,8,88,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:39:28Z
2024-08-22 03:44:28,14.6,12.4,985.9,South,178,4,10,87,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:44:28Z
2024-08-22 03:49:28,14.6,12.4,985.8,SSW,194,5,10,87,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:49:28Z
2024-08-22 03:54:28,14.7,12.4,985.6,SSW,198,8,12,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:54:28Z
2024-08-22 03:59:28,14.7,12.4,985.6,South,172,6,12,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T02:59:28Z
2024-08-22 04:04:28,14.7,12.4,985.5,SSW,193,4,12,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:04:28Z
2024-08-22 04:09:28,14.7,12.3,985.3,SSW,195,4,10,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:09:28Z
2024-08-22 04:14:28,14.7,12.4,985.3,South,183,8,10,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:14:28Z
2024-08-22 04:19:28,14.7,12.2,985.1,SSW,195,6,10,85,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:19:28Z
2024-08-22 04:24:28,14.8,12.2,985.1,South,191,4,10,85,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:24:28Z
2024-08-22 04:29:28,14.8,12.3,985.1,SSW,197,6,12,85,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:29:28Z
2024-08-22 04:34:28,14.8,12.1,984.9,South,180,4,12,84,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:34:28Z
2024-08-22 04:39:28,14.9,12.1,984.8,SSW,206,3,8,84,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:39:28Z
2024-08-22 04:44:28,14.9,12.2,984.5,South,182,6,10,84,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:44:28Z
2024-08-22 04:49:28,15.0,12.1,984.6,SSW,200,3,10,83,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:49:28Z
2024-08-22 04:54:28,15.0,12.1,984.3,SSW,207,4,10,83,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:54:28Z
2024-08-22 04:59:28,15.0,12.1,984.2,South,190,6,8,83,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T03:59:28Z
2024-08-22 05:04:28,15.0,12.1,984.1,SSW,195,6,8,83,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:04:28Z
2024-08-22 05:09:28,15.0,12.1,984.2,SSW,200,4,8,83,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:09:28Z
2024-08-22 05:14:28,15.0,12.1,984.0,SSW,205,4,8,83,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:14:28Z
2024-08-22 05:19:28,15.0,12.4,983.9,East,82,2,8,85,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:19:28Z
2024-08-22 05:24:28,14.8,12.4,983.9,South,185,3,8,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:24:28Z
2024-08-22 05:29:28,14.5,12.2,983.9,South,190,5,10,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:29:28Z
2024-08-22 05:34:28,14.4,12.3,983.9,SSW,197,2,10,87,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:34:28Z
2024-08-22 05:39:28,14.3,12.2,983.7,SSW,193,3,10,88,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:39:28Z
2024-08-22 05:44:28,14.4,12.2,983.7,SSW,210,5,6,87,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:44:28Z
2024-08-22 05:49:28,14.5,12.2,983.7,SSW,205,3,8,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:49:28Z
2024-08-22 05:54:28,14.6,12.2,983.4,SSW,207,4,8,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:54:28Z
2024-08-22 05:59:28,14.7,12.2,983.4,SSW,196,4,8,85,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T04:59:28Z
2024-08-22 06:04:28,14.7,12.4,983.3,SSW,196,2,8,86,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T05:04:28Z
2024-08-22 06:09:28,14.6,12.4,983.4,SSW,196,6,10,87,0.00,unknown,unknown,1.02,0.00,unknown,2024-08-22T05:09:28Z
2024-08-22 06:14:28,14.5,12.6,983.1,SSW,195,3,10,89,0.00,unknown,unknown,1.02,1.00,unknown,2024-08-22T05:14:28Z
2024-08-22 06:19:28,14.2,12.6,983.3,SW,230,1,10,90,0.00,unknown,unknown,1.02,1.00,unknown,2024-08-22T05:19:28Z
2024-08-22 06:24:28,14.1,12.6,983.1,South,186,2,8,91,0.00,unknown,unknown,1.02,1.00,unknown,2024-08-22T05:24:28Z
2024-08-22 06:29:28,13.9,12.4,983.2,SSW,200,3,8,91,0.00,unknown,unknown,1.02,1.00,unknown,2024-08-22T05:29:28Z
