Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,SolarRadiationWatts/m^2,DateUTC
2025-06-05 00:04:00,11.0,7.1,984.0,SSE,165,1,6,77,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:04:00Z
2025-06-05 00:09:00,11.1,7.0,983.9,SSE,162,0,6,76,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:09:00Z
2025-06-05 00:14:00,11.2,7.3,984.0,South,180,0,4,77,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:14:00Z
2025-06-05 00:19:00,11.2,7.3,983.9,SSE,151,0,0,77,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:19:00Z
2025-06-05 00:24:00,11.2,7.3,983.9,SSE,153,0,0,77,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:24:00Z
2025-06-05 00:29:00,11.2,7.3,983.9,SSE,154,0,0,77,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:29:00Z
2025-06-05 00:34:00,11.1,7.2,984.0,SSE,155,0,0,77,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:34:00Z
2025-06-05 00:39:00,11.1,7.4,984.0,SSE,155,0,0,78,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:39:00Z
2025-06-05 00:44:00,11.1,7.4,983.8,SSE,161,0,0,78,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:44:00Z
2025-06-05 00:49:00,11.1,7.6,983.8,SSE,163,0,0,79,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:49:00Z
2025-06-05 00:54:00,11.0,7.7,984.0,SSE,163,0,0,80,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:54:00Z
2025-06-05 00:59:00,11.0,7.9,983.7,SSW,211,0,0,82,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-04T23:59:00Z
2025-06-05 01:04:00,10.8,7.9,983.8,South,172,0,0,83,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:04:00Z
2025-06-05 01:09:00,10.7,8.0,983.8,South,173,0,0,84,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:09:00Z
2025-06-05 01:14:00,10.6,8.0,983.5,SSE,164,0,0,84,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:14:00Z
2025-06-05 01:19:00,10.7,8.1,983.5,South,174,0,0,84,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:19:00Z
2025-06-05 01:24:00,10.7,8.1,983.6,SSE,158,0,0,84,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:24:00Z
2025-06-05 01:29:00,10.8,8.2,983.7,South,177,0,0,84,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:29:00Z
2025-06-05 01:34:00,10.8,8.2,983.6,South,174,0,0,84,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:34:00Z
2025-06-05 01:39:00,10.8,8.4,983.7,South,171,0,0,85,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:39:00Z
2025-06-05 01:44:00,10.8,8.4,983.5,SSE,168,0,0,85,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:44:00Z
2025-06-05 01:49:00,10.7,8.4,983.6,East,93,0,0,86,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:49:00Z
2025-06-05 01:54:00,10.7,8.4,983.6,East,93,0,0,86,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:54:00Z
2025-06-05 01:59:00,10.7,8.6,983.5,SE,134,0,0,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T00:59:00Z
2025-06-05 02:04:00,10.7,8.6,983.4,SE,134,0,0,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:04:00Z
2025-06-05 02:09:00,10.6,8.5,983.4,SSE,161,0,4,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:09:00Z
2025-06-05 02:14:00,10.7,8.6,983.3,SSE,163,0,4,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:14:00Z
2025-06-05 02:19:00,10.7,8.6,983.2,SSE,163,0,0,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:19:00Z
2025-06-05 02:24:00,10.7,8.6,983.3,South,175,0,0,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:24:00Z
2025-06-05 02:29:00,10.7,8.6,983.2,SSE,147,0,0,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:29:00Z
2025-06-05 02:34:00,10.7,8.6,983.0,SSE,158,0,0,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:34:00Z
2025-06-05 02:39:00,10.8,8.7,983.1,SSE,153,0,0,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:39:00Z
2025-06-05 02:44:00,10.9,8.8,983.1,SE,127,0,6,87,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:44:00Z
2025-06-05 02:49:00,10.9,9.0,983.0,SSE,147,0,6,88,0.00,unknown,unknown,0.00,0.00,unknown,2025-06-05T01:49:00Z
2025-06-05 02:54:00,10.9,9.2,983.1,SSE,153,1,6,89,0.25,unknown,unknown,0.25,0.00,unknown,2025-06-05T01:54:00Z
2025-06-05 02:59:00,10.9,9.3,983.0,SSE,155,0,4,90,0.25,unknown,unknown,0.25,0.00,unknown,2025-06-05T01:59:00Z
