Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,SolarRadiationWatts/m^2,DateUTC
2024-03-20 00:04:00,9.1,8.5,997.4,SSW,203,0,0,96,0.25,unknown,unknown,0.00,0.00,unknown,2024-03-20T00:04:00Z
2024-03-20 00:09:00,9.2,8.6,997.4,SSW,203,0,0,96,0.25,unknown,unknown,0.00,0.00,unknown,2024-03-20T00:09:00Z
2024-03-20 00:14:00,9.2,8.6,997.4,SSW,203,0,0,96,0.51,unknown,unknown,0.25,0.00,unknown,2024-03-20T00:14:00Z
2024-03-20 00:19:00,9.2,8.6,997.5,SSW,203,0,0,96,0.51,unknown,unknown,0.25,0.00,unknown,2024-03-20T00:19:00Z
2024-03-20 00:24:00,9.2,8.6,997.5,SSW,203,0,0,96,0.51,unknown,unknown,0.25,0.00,unknown,2024-03-20T00:24:00Z
2024-03-20 00:29:00,9.2,8.6,997.5,SSW,203,0,0,96,0.25,unknown,unknown,0.25,0.00,unknown,2024-03-20T00:29:00Z
2024-03-20 00:34:00,9.3,8.7,997.6,SSW,203,0,0,96,0.25,unknown,unknown,0.25,0.00,unknown,2024-03-20T00:34:00Z
2024-03-20 00:39:00,9.3,8.7,997.4,SSW,203,0,0,96,0.25,unknown,unknown,0.25,0.00,unknown,2024-03-20T00:39:00Z
2024-03-20 00:44:00,9.3,8.8,997.4,SSW,203,0,0,97,0.25,unknown,unknown,0.25,0.00,unknown,2024-03-20T00:44:00Z
2024-03-20 00:49:00,9.3,8.8,997.5,SSW,203,0,0,97,0.51,unknown,unknown,0.51,0.00,unknown,2024-03-20T00:49:00Z
2024-03-20 00:54:00,9.3,8.8,997.3,SSW,203,0,0,97,0.51,unknown,unknown,0.51,0.00,unknown,2024-03-20T00:54:00Z
2024-03-20 00:59:00,9.3,8.8,997.3,SSW,203,0,0,97,0.51,unknown,unknown,0.51,0.00,unknown,2024-03-20T00:59:00Z
2024-03-20 01:04:00,9.3,8.8,997.4,SSW,203,0,0,97,1.02,unknown,unknown,1.02,0.00,unknown,2024-03-20T01:04:00Z
2024-03-20 01:09:00,9.3,8.8,997.3,SSW,203,0,0,97,1.02,unknown,unknown,1.02,0.00,unknown,2024-03-20T01:09:00Z
