Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,SolarRadiationWatts/m^2,DateUTC
2024-09-18 00:04:28,10.4,9.2,1013.8,NW,320,0,0,93,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:04:28Z
2024-09-18 00:09:28,10.3,9.2,1013.9,NW,320,0,0,93,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:09:28Z
2024-09-18 00:14:28,10.1,9.0,1014.0,NW,318,0,0,93,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:14:28Z
2024-09-18 00:19:28,10.0,8.9,1014.0,NW,318,0,0,93,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:19:28Z
2024-09-18 00:24:28,9.9,9.0,1014.1,NW,318,0,0,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:24:28Z
2024-09-18 00:29:28,9.9,9.0,1014.1,NW,318,0,0,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:29:28Z
2024-09-18 00:34:28,9.9,9.0,1014.1,NNW,337,0,0,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:34:28Z
2024-09-18 00:39:28,10.0,9.1,1014.1,NNE,25,0,0,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:39:28Z
2024-09-18 00:44:28,10.0,9.1,1014.0,NNE,17,0,0,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:44:28Z
2024-09-18 00:49:28,10.0,9.1,1013.9,NNE,17,0,0,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:49:28Z
2024-09-18 00:54:28,10.0,9.1,1014.0,NNE,15,0,0,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:54:28Z
2024-09-18 00:59:28,10.0,9.1,1014.0,NNE,17,0,0,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-17T23:59:28Z
2024-09-18 01:04:28,10.1,9.2,1014.0,North,10,0,2,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-18T00:04:28Z
2024-09-18 01:09:28,10.2,9.3,1014.0,North,357,0,2,94,0.00,unknown,unknown,0.00,0.00,unknown,2024-09-18T00:09:28Z
