Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,SolarRadiationWatts/m^2,DateUTC
2024-09-27 00:04:00,8.6,7.7,973.4,North,10,6,15,94,0.25,unknown,unknown,0.00,0.00,unknown,2024-09-26T23:04:00Z
2024-09-27 00:09:00,8.6,7.8,973.5,NNW,346,4,12,95,0.51,unknown,unknown,0.25,0.00,unknown,2024-09-26T23:09:00Z
2024-09-27 00:14:00,8.6,7.8,973.7,NW,326,4,12,95,0.51,unknown,unknown,0.25,0.00,unknown,2024-09-26T23:14:00Z
2024-09-27 00:19:00,8.6,7.8,973.7,WSW,256,8,10,95,0.51,unknown,unknown,0.25,0.00,unknown,2024-09-26T23:19:00Z
2024-09-27 00:24:00,8.5,7.7,973.8,North,6,6,10,95,0.76,unknown,unknown,0.51,0.00,unknown,2024-09-26T23:24:00Z
2024-09-27 00:29:00,8.5,7.9,973.8,North,350,6,12,96,0.76,unknown,unknown,0.51,0.00,unknown,2024-09-26T23:29:00Z
2024-09-27 00:34:00,8.4,7.8,973.8,North,355,8,12,96,0.76,unknown,unknown,0.76,0.00,unknown,2024-09-26T23:34:00Z
2024-09-27 00:39:00,8.4,7.8,974.0,NNW,327,8,12,96,0.76,unknown,unknown,0.76,0.00,unknown,2024-09-26T23:39:00Z
2024-09-27 00:44:00,8.3,7.7,974.0,North,5,5,12,96,0.76,unknown,unknown,0.76,0.00,unknown,2024-09-26T23:44:00Z
2024-09-27 00:49:00,8.3,7.7,974.0,NNE,18,8,12,96,0.76,unknown,unknown,0.76,0.00,unknown,2024-09-26T23:49:00Z
2024-09-27 00:54:00,8.2,7.6,974.0,North,4,8,12,96,1.02,unknown,unknown,1.02,0.00,unknown,2024-09-26T23:54:00Z
2024-09-27 00:59:00,8.2,7.6,974.2,North,357,6,12,96,1.02,unknown,unknown,1.02,0.00,unknown,2024-09-26T23:59:00Z
2024-09-27 01:04:00,8.2,7.6,974.1,NNW,343,9,17,96,1.52,unknown,unknown,1.52,0.00,unknown,2024-09-27T00:04:00Z
2024-09-27 01:09:00,8.1,7.5,974.4,NNW,338,6,17,96,1.02,unknown,unknown,1.52,0.00,unknown,2024-09-27T00:09:00Z
2024-09-27 01:14:00,8.1,7.5,974.2,NNW,336,8,15,96,1.52,unknown,unknown,1.78,0.00,unknown,2024-09-27T00:14:00Z
2024-09-27 01:19:00,8.1,7.5,974.2,NNE,29,6,13,96,1.52,unknown,unknown,1.78,0.00,unknown,2024-09-27T00:19:00Z
2024-09-27 01:24:00,8.0,7.4,974.3,NNW,332,6,13,96,1.52,unknown,unknown,1.78,0.00,unknown,2024-09-27T00:24:00Z
2024-09-27 01:29:00,8.0,7.4,974.4,NNW,328,6,13,96,1.27,unknown,unknown,1.78,0.00,unknown,2024-09-27T00:29:00Z
2024-09-27 01:34:00,8.0,7.4,974.4,NW,319,7,13,96,1.52,unknown,unknown,2.03,0.00,unknown,2024-09-27T00:34:00Z
2024-09-27 01:39:00,8.0,7.4,974.6,North,356,9,13,96,1.27,unknown,unknown,2.03,0.00,unknown,2024-09-27T00:39:00Z
2024-09-27 01:44:00,7.9,7.3,974.6,NNE,33,6,13,96,1.27,unknown,unknown,2.03,0.00,unknown,2024-09-27T00:44:00Z
2024-09-27 01:49:00,7.9,7.3,974.7,North,355,10,13,96,1.27,unknown,unknown,2.03,0.00,unknown,2024-09-27T00:49:00Z
2024-09-27 01:54:00,7.9,7.3,974.8,North,357,6,17,96,1.27,unknown,unknown,2.03,0.00,unknown,2024-09-27T00:54:00Z
2024-09-27 01:59:00,7.9,7.3,974.8,NNW,348,9,17,96,1.27,unknown,unknown,2.29,0.00,unknown,2024-09-27T00:59:00Z
2024-09-27 02:04:00,7.9,7.3,975.0,North,4,9,17,96,1.27,unknown,unknown,2.29,0.00,unknown,2024-09-27T01:04:00Z
2024-09-27 02:09:00,7.8,7.2,974.9,NNW,329,8,15,96,1.02,unknown,unknown,2.29,0.00,unknown,2024-09-27T01:09:00Z
2024-09-27 02:14:00,7.8,7.2,975.0,North,11,8,15,96,1.02,unknown,unknown,2.29,0.00,unknown,2024-09-27T01:14:00Z
2024-09-27 02:19:00,7.8,7.2,975.1,North,3,8,15,96,0.51,unknown,unknown,2.29,0.00,unknown,2024-09-27T01:19:00Z
2024-09-27 02:24:00,7.8,7.2,975.2,NE,41,9,15,96,1.02,unknown,unknown,2.54,0.00,unknown,2024-09-27T01:24:00Z
2024-09-27 02:29:00,7.7,7.1,975.2,NNW,337,7,15,96,1.02,unknown,unknown,2.54,0.00,unknown,2024-09-27T01:29:00Z
2024-09-27 02:34:00,7.7,7.1,975.2,NNE,27,8,13,96,1.02,unknown,unknown,2.54,0.00,unknown,2024-09-27T01:34:00Z
2024-09-27 02:39:00,7.7,7.1,975.3,North,349,6,12,96,0.51,unknown,unknown,2.54,0.00,unknown,2024-09-27T01:39:00Z
